"species","functional_group","r_functional_group:comname",".lower",".upper",".width",".point",".interval","comname","mean_dist","dist_group"
"Fourbeard rockling","Benthivore",-0.0348538530145849,-0.140612071161984,0.0722816615036326,0.95,"median","qi","Fourbeard rockling",78.2504306069361,"Medium (25–75%)"
"Fourspot flounder","Piscivore",0.0149048270943087,-0.0911389002106569,0.122748334610669,0.95,"median","qi","Fourspot flounder",68.7825103871497,"Short (0–25%)"
"Goosefish","Piscivore",-0.095469762788475,-0.207064925908618,0.011393858005628,0.95,"median","qi","Goosefish",161.441856726134,"Medium (25–75%)"
"Gulf stream flounder","Benthivore",-0.0453815575796857,-0.151108937335403,0.058665488882224,0.95,"median","qi","Gulf stream flounder",100.501053558901,"Medium (25–75%)"
"Haddock","Benthivore",-0.028814087732272,-0.137409964127918,0.0759018020747873,0.95,"median","qi","Haddock",62.9806789469306,"Short (0–25%)"
"Horseshoe crab","Benthivore",0.0304756321763857,-0.0885060366336287,0.151055200400256,0.95,"median","qi","Horseshoe crab",NA,NA
"Jonah crab","Benthivore",0.0229176641543082,-0.0848501411195413,0.130355113940107,0.95,"median","qi","Jonah crab",141.990657387028,"Medium (25–75%)"
"Lanternfish (unclassified)","Planktivore",-0.0930088801108208,-0.214444027084372,0.0195335483014739,0.95,"median","qi","Lanternfish (unclassified)",333.27681962761,"Long (75–100%)"
"Little skate","Benthivore",-0.0194963071866827,-0.125596046743526,0.0842210466483824,0.95,"median","qi","Little skate",154.12262699248,"Medium (25–75%)"
"Longfin squid","Piscivore",0.125610345768762,0.0188843413485384,0.235451182274236,0.95,"median","qi","Longfin squid",181.042574755757,"Long (75–100%)"
"Longhorn sculpin","Benthivore",-0.0632814431474046,-0.171054940107215,0.0396024490955015,0.95,"median","qi","Longhorn sculpin",73.2340998812846,"Short (0–25%)"
"Northern sand lance","Planktivore",0.0218809458829489,-0.096305534546212,0.134856735692166,0.95,"median","qi","Northern sand lance",228.597501708927,"Long (75–100%)"
"Northern searobin","Benthivore",-0.0180876440859585,-0.124760342403375,0.084869149903112,0.95,"median","qi","Northern searobin",131.355290707076,"Medium (25–75%)"
"Northern shortfin squid","Piscivore",-0.0376913975560383,-0.148626260800972,0.0712414392309129,0.95,"median","qi","Northern shortfin squid",278.982552227559,"Long (75–100%)"
"Ocean pout","Benthivore",0.0566998164383157,-0.048301367034239,0.166277084821294,0.95,"median","qi","Ocean pout",157.04471299572,"Medium (25–75%)"
"Offshore hake","Piscivore",-0.0445136612793103,-0.15332176606465,0.0634440648379416,0.95,"median","qi","Offshore hake",149.201964969655,"Medium (25–75%)"
"Pollock","Piscivore",0.00385215099833468,-0.102540963202508,0.111088686950357,0.95,"median","qi","Pollock",96.9475808727944,"Medium (25–75%)"
"Red hake","Piscivore",-0.12269920075845,-0.23465612312726,-0.0117449030913795,0.95,"median","qi","Red hake",78.2099753817078,"Medium (25–75%)"
"Scup","Benthivore",-0.0946989519857653,-0.206289133647781,0.0121609836141411,0.95,"median","qi","Scup",180.08121440808,"Long (75–100%)"
"Sea raven","Piscivore",-0.0379478641914666,-0.145211770465469,0.0696747119152731,0.95,"median","qi","Sea raven",43.4525288246209,"Short (0–25%)"
"Silver hake","Piscivore",-0.15512293105792,-0.271901107446579,-0.0465751536781705,0.95,"median","qi","Silver hake",129.312808524157,"Medium (25–75%)"
"Smooth dogfish","Benthivore",0.0679115426530077,-0.0446604292620532,0.179622230636676,0.95,"median","qi","Smooth dogfish",NA,NA
"Smooth skate","Benthivore",-0.054395274677127,-0.162482994826453,0.0513287563549129,0.95,"median","qi","Smooth skate",60.2619682916182,"Short (0–25%)"
"Spiny dogfish","Piscivore",0.110680666653899,0.00313554612095328,0.22066269419465,0.95,"median","qi","Spiny dogfish",355.780410574432,"Long (75–100%)"
"Spotted hake","Piscivore",-0.0271900723665038,-0.134336345637215,0.0786701219856122,0.95,"median","qi","Spotted hake",121.126693470697,"Medium (25–75%)"
"Striped searobin","Benthivore",0.00785564256252966,-0.100953012590922,0.117767097310935,0.95,"median","qi","Striped searobin",NA,NA
"Summer flounder","Piscivore",0.0299393017938033,-0.0772050752629032,0.137872576681774,0.95,"median","qi","Summer flounder",160.8494383658,"Medium (25–75%)"
"Thorny skate","Piscivore",0.0946296710785623,-0.0120896829746155,0.205487296484557,0.95,"median","qi","Thorny skate",50.9197713623978,"Short (0–25%)"
"White hake","Piscivore",0.0441412674367462,-0.060062315327222,0.153310934410809,0.95,"median","qi","White hake",56.1774976847479,"Short (0–25%)"
"Windowpane flounder","Benthivore",0.0536997036064043,-0.0536937081455813,0.161518059476288,0.95,"median","qi","Windowpane flounder",147.515755396137,"Medium (25–75%)"
"Winter flounder","Benthivore",-0.12784861183633,-0.237309793393654,-0.0198877665651673,0.95,"median","qi","Winter flounder",86.0049868544382,"Medium (25–75%)"
"Winter skate","Piscivore",0.0872490541894084,-0.0167745131626425,0.19347203358462,0.95,"median","qi","Winter skate",109.758756706403,"Medium (25–75%)"
"Witch flounder","Benthivore",0.109387554799657,0.00502261184526364,0.219327295341763,0.95,"median","qi","Witch flounder",66.1745551959217,"Short (0–25%)"
"Yellowtail flounder","Benthivore",-0.0650502417948322,-0.172946657875183,0.038535003025515,0.95,"median","qi","Yellowtail flounder",75.3820510627896,"Medium (25–75%)"
